
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2022-06-08


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 6.5
Magnitude Max:, 8.0
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, 500.0
Vs30 Max (m/sec):, 10000.0
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 100
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, Normal+Reverse


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 14, 0.3606, 1.0, -, 12.4, 33.6, 0.3, "Kern County", 1952, "Santa Barbara Courthouse", 7.36, Reverse, 81.3, 82.19, 514.99, 0.375, 1.0, RSN14_KERN_SBA042.AT2, RSN14_KERN_SBA132.AT2 , RSN14_KERN_SBA-UP.AT2  
2, SRSS, 72, 0.3143, 1.0, -, 4.2, 13.0, 0.3, "San Fernando", 1971, "Lake Hughes #4", 6.61, Reverse, 19.45, 25.07, 600.06, 0.25, 1.0, RSN72_SFERN_L04111.AT2, RSN72_SFERN_L04201.AT2 , RSN72_SFERN_L04DWN.AT2  
3, SRSS, 285, 0.2529, 1.0, 1.71332, 5.2, 19.6, 0.4, "Irpinia_ Italy-01", 1980, "Bagnoli Irpinio", 6.9, Normal, 8.14, 8.18, 649.67, 0.1125, 1.0, RSN285_ITALY_A-BAG000.AT2, RSN285_ITALY_A-BAG270.AT2 , RSN285_ITALY_A-BAG-UP.AT2  
4, SRSS, 288, 0.2165, 1.0, -, 5.7, 13.2, 0.5, "Irpinia_ Italy-01", 1980, "Brienza", 6.9, Normal, 22.54, 22.56, 561.04, 0.2875, 1.0, RSN288_ITALY_A-BRZ000.AT2, RSN288_ITALY_A-BRZ270.AT2 , RSN288_ITALY_A-BRZ-UP.AT2  
5, SRSS, 291, 0.235, 1.0, -, 18.4, 24.9, 0.3, "Irpinia_ Italy-01", 1980, "Rionero In Vulture", 6.9, Normal, 27.49, 30.07, 574.88, 0.375, 1.0, RSN291_ITALY_A-VLT000.AT2, RSN291_ITALY_A-VLT270.AT2 , RSN291_ITALY_A-VLT-UP.AT2  
6, SRSS, 572, 0.151, 1.0, -, 7.5, 12.4, 0.4, "Taiwan SMART1(45)", 1986, "SMART1 E02", 7.3, Reverse, 51.35, 51.35, 671.52, 0.1, 1.0, RSN572_SMART1.45_45EO2EW.AT2, RSN572_SMART1.45_45EO2NS.AT2 , RSN572_SMART1.45_45EO2DN.AT2  
7, SRSS, 587, 0.4997, 1.0, -, 3.8, 8.4, 0.7, "New Zealand-02", 1987, "Matahina Dam", 6.6, Normal, 16.09, 16.09, 551.3, 0.25, 1.0, RSN587_NEWZEAL_A-MAT083.AT2, RSN587_NEWZEAL_A-MAT353.AT2 , RSN587_NEWZEAL_A-MAT-UP.AT2  
8, SRSS, 734, 0.4793, 1.0, -, 8.6, 19.3, 0.1, "Loma Prieta", 1989, "APEEL 3E Hayward CSUH", 6.93, Reverse Oblique, 52.39, 52.53, 517.06, 0.125, 1.0, RSN734_LOMAP_A3E000.AT2, RSN734_LOMAP_A3E090.AT2 , RSN734_LOMAP_A3E-UP.AT2  
9, SRSS, 748, 0.2963, 1.0, -, 4.9, 12.3, 0.2, "Loma Prieta", 1989, "Belmont - Envirotech", 6.93, Reverse Oblique, 43.94, 44.11, 627.59, 0.1, 1.0, RSN748_LOMAP_BES075.AT2, RSN748_LOMAP_BES345.AT2 , RSN748_LOMAP_BES-UP.AT2  
10, SRSS, 750, 0.4832, 1.0, -, 7.0, 16.9, 0.2, "Loma Prieta", 1989, "Berkeley LBL", 6.93, Reverse Oblique, 79.16, 79.25, 623.52, 0.125, 1.0, RSN750_LOMAP_BRK000.AT2, RSN750_LOMAP_BRK090.AT2 , RSN750_LOMAP_BRK-UP.AT2  
11, SRSS, 751, 0.3365, 1.0, -, 8.2, 17.4, 0.2, "Loma Prieta", 1989, "Calaveras Reservoir", 6.93, Reverse Oblique, 35.28, 35.49, 571.99, 0.084, 1.0, RSN751_LOMAP_CLR090.AT2, RSN751_LOMAP_CLR180.AT2 , RSN751_LOMAP_CLR-UP.AT2  
12, SRSS, 755, 0.4973, 1.0, -, 6.0, 15.7, 1.5, "Loma Prieta", 1989, "Coyote Lake Dam - Southwest Abutment", 6.93, Reverse Oblique, 19.97, 20.34, 561.43, 0.1625, 1.0, RSN755_LOMAP_CYC195.AT2, RSN755_LOMAP_CYC285.AT2 , RSN755_LOMAP_CYC-UP.AT2  
13, SRSS, 769, 0.1335, 1.0, -, 4.5, 13.0, 0.4, "Loma Prieta", 1989, "Gilroy Array #6", 6.93, Reverse Oblique, 17.92, 18.33, 663.31, 0.1625, 1.0, RSN769_LOMAP_G06000.AT2, RSN769_LOMAP_G06090.AT2 , RSN769_LOMAP_G06-UP.AT2  
14, SRSS, 771, 0.3067, 1.0, -, 4.2, 7.5, 0.5, "Loma Prieta", 1989, "Golden Gate Bridge", 6.93, Reverse Oblique, 79.71, 79.81, 584.17, 0.1625, 1.0, RSN771_LOMAP_GGB270.AT2, RSN771_LOMAP_GGB360.AT2 , RSN771_LOMAP_GGB-UP.AT2  
15, SRSS, 793, 0.4669, 1.0, -, 5.2, 10.2, 0.1, "Loma Prieta", 1989, "SF - Cliff House", 6.93, Reverse Oblique, 78.58, 78.68, 614.57, 0.1375, 1.0, RSN793_LOMAP_CFH000.AT2, RSN793_LOMAP_CFH090.AT2 , RSN793_LOMAP_CFH-UP.AT2  
16, SRSS, 794, 0.2499, 1.0, -, 4.4, 9.5, 0.1, "Loma Prieta", 1989, "SF - Diamond Heights", 6.93, Reverse Oblique, 71.23, 71.33, 582.9, 0.0875, 1.0, RSN794_LOMAP_DMH000.AT2, RSN794_LOMAP_DMH090.AT2 , RSN794_LOMAP_DMH-UP.AT2  
17, SRSS, 796, 0.1661, 1.0, -, 4.7, 10.2, 0.3, "Loma Prieta", 1989, "SF - Presidio", 6.93, Reverse Oblique, 77.34, 77.43, 594.47, 0.1, 1.0, RSN796_LOMAP_PRS000.AT2, RSN796_LOMAP_PRS090.AT2 , RSN796_LOMAP_PRS-UP.AT2  
18, SRSS, 797, 0.4612, 1.0, -, 8.2, 14.2, 0.1, "Loma Prieta", 1989, "SF - Rincon Hill", 6.93, Reverse Oblique, 74.04, 74.14, 873.1, 0.125, 1.0, RSN797_LOMAP_RIN000.AT2, RSN797_LOMAP_RIN090.AT2 , RSN797_LOMAP_RIN-UP.AT2  
